seed,pin_set,star-class,tidally-locked,day-length-hours,year-std-days,year-local-days,obliquity-degrees,obliquity-range,moons-admitted,refused-a-moon,total-tide,months-per-year-innermost,neighbor-count,brightest-neighbor-class,belief-kind,genesis-note-count,plate-count,ocean-fraction,mountain-coverage,band-count,habitable-fraction,unrest-coverage,dominant-land-biome,mean-land-temperature-c,settlement-count,mean-population,flagship-subsistence,flagship-biome,flagship-coastal,flagship-structure-size,endorheic-coverage,pantheon-size,cult-form,pantheon-verticality,head-deity-periodicity,goblin-flagship-roles,kobold-flagship-roles,goblin-flagship-population,kobold-flagship-population,goblin-flagship-surplus,kobold-flagship-surplus,goblin-flagship-coastal,kobold-flagship-coastal,goblin-settlement-count,kobold-settlement-count,head-deity-domain-goblin,head-deity-domain-kobold,pantheon-size-goblin,pantheon-size-kobold,cult-form-goblin,cult-form-kobold,blind-attribution-correct,phonotactic-validity-goblin,phonotactic-validity-kobold,epithet-honorific-goblin,epithet-honorific-kobold,name-length-goblin,name-length-kobold,name-collision-rate,head-deity-domain-goblin-twin,pantheon-size-goblin-twin,cult-form-goblin-twin,name-length-goblin-twin,pantheon-cyclic-share-goblin,pantheon-cyclic-share-goblin-twin,name-gloss-true,lexicon-regular-goblin,lexicon-regular-kobold,exposure-sound-goblin,exposure-sound-kobold,hue-depth-goblin,hue-depth-kobold,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,landmass-count,lexicon-regular-family,monophyly-goblinoid,clean-outgroup-kobold,inventory-closure-goblin,inventory-closure-hobgoblin,inventory-closure-bugbear,inventory-closure-kobold,divergence-magnitude-goblin,divergence-magnitude-hobgoblin,divergence-magnitude-bugbear,divergence-real,homophony-count-goblin,homophony-count-hobgoblin,homophony-count-bugbear,homophony-count-kobold,core-homophony-goblin,core-homophony-hobgoblin,core-homophony-bugbear,core-homophony-kobold,homophony-merger-share-goblin,homophony-merger-share-hobgoblin,homophony-merger-share-bugbear,homophony-merger-share-kobold,confusable-homophony-goblin,confusable-homophony-hobgoblin,confusable-homophony-bugbear,confusable-homophony-kobold,tone-count-goblin,tone-count-kobold,distinguishable-capacity-goblin,distinguishable-capacity-bugbear,distinguishable-capacity-kobold,refusal
136,default,yellow dwarf (G),false,24.401393,495.9976,487.83865,1.1532889,4.0344155,0,false,-0,,3,blue-giant,cyclic,0,11,0.51008252,0.46536775,3,0.24593526,0.012597041,ice,-7.4289944,101,335.13861,farming,temperate-rainforest,true,5,0.28966514,2,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",514,474,0.72,0.81,true,true,70,29,solar,solar,2,2,organized,organized,false,true,true,true,false,17.527027,17.939394,0,,,,,0.5,,true,true,true,true,true,4,2,7.9388657,2.5630155,0.071944729,7,0.31303568,0.64972413,49,true,true,true,true,true,true,true,2,1,4,true,1,0,14,1,0,0,0,0,1,,1,1,0,0,0,0,1,1,162,40,80,
137,default,yellow-white dwarf (F),false,19.549645,986.22859,1210.7374,11.351735,0.54028673,2,false,5.0966217,120.25229,2,red-dwarf,cyclic,0,23,0.6957424,0.43207895,5,0.090693814,0.012450564,ice,-16.314678,57,321.68421,farming,temperate-rainforest,true,5,0.25250742,7,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",511,446,0.81,0.81,true,true,47,8,solar,lunar,7,6,organized,organized,true,true,true,true,false,22.770492,10.1,0.18823529,,,,,1,,true,true,true,true,true,4,2,6.5741143,3.5133832,0.042209853,9,0.36074781,0.73736634,30,true,true,true,true,true,true,true,4,5,5,true,0,0,1,16,0,0,0,0,,,1,1,0,0,0,0,1,1,162,66,8,
138,default,yellow-white dwarf (F),false,31.82109,1106.9901,834.91052,22.095498,1.1563068,1,false,0.060249402,12.049455,5,orange-giant,cyclic,0,28,0.66647136,0.38852291,3,0.039792979,0.010106928,ice,-25.333183,35,285.85714,farming,taiga,true,5,0.17076563,5,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",314,339,0.765,0.765,true,true,30,3,solar,lunar,5,3,organized,organized,true,true,true,true,false,7.325,14,0.19230769,,,,,1,,true,true,true,true,true,4,2,5.9517944,3.7562398,0.043528148,8,0.23078612,0.69962055,23,true,true,true,true,true,true,true,2,1,6,true,0,0,4,0,0,0,0,0,,,1,,0,0,0,0,1,1,96,32,100,
139,default,yellow-white dwarf (F),false,31.271254,595.99366,457.41203,27.477221,1.4447549,2,false,2.2964482,25.284258,2,sun-like,ambient,0,30,0.66385919,0.46590166,3,0.22965187,0.033128265,temperate-forest,3.5949703,104,315.36538,farming,temperate-rainforest,true,5,0.22783063,8,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",507,329,0.675,0.675,true,true,61,41,solar,lunar,8,7,organized,organized,true,true,true,true,false,11.454545,21.254545,0.17164179,,,,,1,,true,true,true,true,true,4,2,8.6109746,3.0165372,0.054611591,13,0.22971893,0.63501131,56,true,true,true,true,true,true,true,1,3,5,true,3,6,6,0,0,0,0,0,1,1,1,,0,0,0,0,1,1,648,48,16,
140,default,yellow-white dwarf (F),false,29.473033,976.07058,794.81788,31.659024,3.8539363,0,false,-0,,5,blue-giant,eternal,0,24,0.73175138,0.38050601,3,0.071798252,0.02321664,ice,-19.356974,47,329.91489,farming,temperate-rainforest,true,5,0.22460866,3,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",459,458,0.72,0.72,true,true,35,10,solar,lunar,3,5,organized,organized,true,true,true,true,false,13.341463,13.65,0.11290323,,,,,0.66666667,,true,true,true,true,true,4,2,5.887132,4.0121546,0.03708315,9,0.17054969,0.73791766,30,true,true,true,true,true,true,true,3,3,5,true,1,4,5,0,0,0,0,0,1,1,1,,0,0,0,0,1,1,585,68,36,
141,default,yellow-white dwarf (F),false,29.353067,411.73408,336.64687,24.093846,0.71641276,2,false,4.2460767,41.053028,4,sun-like,ambient,0,27,0.62138079,0.5116384,3,0.20838826,0.020506811,alpine,9.6343679,94,302.3617,farming,temperate-forest,true,3,0.22831904,9,organized,flat,cyclic,"farmer,shaman,chief","digger,elders",410,408,0.4016208,0.06,true,false,51,41,solar,lunar,9,7,organized,folk,true,true,true,true,false,10.913043,15.509091,0.21875,,,,,1,,true,true,true,true,true,4,2,7.4728658,2.9273137,0.049167521,10,0.33084016,0.63755748,36,true,true,true,true,true,true,true,6,4,6,true,0,4,1,5,0,0,0,0,,1,1,1,0,0,0,0,1,1,42,16,320,
142,default,yellow-white dwarf (F),false,26.329038,913.39597,832.59797,18.413501,0.8510509,2,false,3.1218081,51.944908,5,orange-giant,ambient,0,40,0.56855134,0.50132971,3,0.042038963,0.038377032,ice,-27.827422,50,286.38,farming,taiga,true,5,0.28144627,8,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",421,341,0.78444827,0.81,true,true,43,5,solar,lunar,8,6,organized,organized,true,true,true,true,false,9.0338983,6.7647059,0.25316456,,,,,1,,true,true,true,true,true,4,2,7.9466403,2.8539388,0.058932669,7,0.29389464,0.79442166,38,true,true,true,true,true,true,true,5,3,5,true,1,0,3,0,0,0,0,0,1,,1,,0,0,0,0,1,1,198,16,70,
143,default,yellow-white dwarf (F),false,29.462523,746.15254,607.81153,0.31144987,2.2089485,0,false,-0,,3,blue-giant,eternal,0,11,0.7131976,0.49293497,3,0.058200283,0.012157609,ice,-21.056966,46,325.28261,farming,temperate-rainforest,true,5,0.19075587,2,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",489,362,0.765,0.765,true,true,37,7,solar,lunar,2,2,organized,organized,true,true,true,true,false,9.4878049,13.818182,0,,,,,0.5,,true,true,true,true,true,4,2,5.8150761,3.4784807,0.037669059,11,0.2495744,0.70041413,22,true,true,true,true,true,true,true,5,1,3,true,4,0,7,2,0,0,0,0,1,,1,1,0,0,0,0,1,1,36,70,500,
144,default,yellow-white dwarf (F),false,21.751426,1051.9107,1160.653,19.501298,0.33629466,1,false,2.3351031,49.638965,5,blue-giant,ambient,0,27,0.58893609,0.50071267,3,0.052756213,0.031199648,ice,-27.421631,45,281.73333,farming,taiga,true,5,0.29985747,6,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",397,369,0.72,0.765,true,true,37,6,solar,lunar,6,6,organized,organized,true,true,true,true,false,11.653061,15.666667,0.20289855,,,,,0.83333333,,true,true,true,true,true,4,2,6.5929455,3.223169,0.048093355,8,0.19948925,0.65468266,29,true,true,true,true,true,true,true,4,2,4,true,0,0,5,0,0,0,0,0,,,1,,0,0,0,0,1,1,540,16,16,
145,default,yellow-white dwarf (F),true,,745.66474,,31.127438,2.1541322,2,false,1.0405604,83.295333,3,sun-like,ambient,0,29,0.74871832,0.5020888,locked,0.078438553,0.016478688,ice,-13.783918,29,319.06897,farming,temperate-rainforest,true,5,0.20227339,5,organized,ranked,eternal,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",543,474,0.7404862,0.83718086,true,true,10,17,solar,solar,5,3,organized,organized,false,true,true,true,false,12.45,13.26087,0.27083333,,,,,0.8,,true,true,true,true,true,4,2,6.0910478,3.2064041,0.033299155,9,0.21723501,0.69318578,24,true,true,true,true,true,true,true,1,0,3,true,0,0,4,1,0,0,0,0,,,1,1,0,0,0,0,1,1,33,16,138,
146,default,yellow dwarf (G),false,24.493573,413.66748,405.33162,0.53047511,1.0953988,2,false,1.8762924,17.794591,3,orange-giant,ambient,0,26,0.69293492,0.43830498,3,0.075631073,0.018749085,ice,-18.031738,52,345.63462,farming,temperate-rainforest,true,5,0.24884719,7,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",392,469,0.72,0.72,true,true,44,6,solar,lunar,7,6,organized,organized,true,true,true,true,false,9.1034483,8.6111111,0.23076923,,,,,1,,true,true,true,true,true,4,2,6.8570087,3.2081653,0.048288658,7,0.39314676,0.62176764,28,true,true,true,true,true,true,true,4,1,5,true,0,0,9,0,0,0,0,0,,,1,,0,0,0,0,1,1,66,128,24,
147,default,yellow-white dwarf (F),false,27.953721,572.72207,491.71736,8.3229411,0.22901935,2,false,2.8736948,30.957428,2,sun-like,ambient,0,32,0.59486841,0.44531485,3,0.23487623,0.021190372,alpine,13.061214,91,288.2967,farming,temperate-forest,true,3,0.31648087,7,organized,flat,cyclic,"farmer,shaman,chief","digger,shaper,keeper,elders",452,373,0.405,0.585,true,true,43,46,solar,lunar,7,6,organized,organized,true,true,true,true,false,5.6666667,18.913793,0.21367521,,,,,1,,true,true,true,true,true,4,2,6.263598,3.4777383,0.046042674,6,0.55757758,0.73904167,31,true,true,true,true,true,true,true,7,5,8,true,2,0,2,0,0,0,0,0,1,,1,,0,0,0,0,1,1,15,96,80,
148,default,yellow-white dwarf (F),false,19.696859,397.68839,484.57073,16.118107,2.9130118,1,false,0.29321385,10.078627,2,sun-like,cyclic,0,9,0.5603242,0.49927818,5,0.19908696,0.003588692,alpine,15.947366,89,298.7191,farming,temperate-rainforest,true,5,0.19783454,4,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",494,355,0.72,0.81,true,true,40,47,solar,lunar,4,3,organized,organized,true,true,true,true,false,9.8125,13.754717,0.11538462,,,,,1,,true,true,true,true,true,4,2,7.1805746,2.8134421,0.055417216,5,0.53903387,0.64491209,27,true,true,true,true,true,true,true,3,2,4,true,5,2,6,0,0,0,0,0,1,1,1,,0,0,0,0,1,1,54,104,180,
149,default,orange dwarf (K),false,28.731261,352.09076,294.11094,29.02808,0.39737692,3,false,5.3780986,50.573388,3,sun-like,ambient,0,19,0.51191348,0.46626319,3,0.035740442,0.0098139739,ice,-29.678666,42,273.11905,farming,taiga,true,5,0.30610714,12,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",326,339,0.72,0.765,true,true,35,5,solar,lunar,12,11,organized,organized,true,true,true,true,false,12.271186,6.5185185,0.42696629,,,,,1,,true,true,true,true,true,4,2,6.1355607,3.6215689,0.055221913,3,0.79082679,0.7541701,19,true,true,true,true,true,true,true,4,0,4,true,3,0,3,0,0,0,0,0,1,,1,,0,0,0,0,1,1,30,168,16,
150,default,orange dwarf (K),false,22.025439,315.41301,343.68951,10.974916,0.55173428,3,false,7.8685436,70.126781,3,red-giant,cyclic,0,33,0.61757238,0.49913821,3,0.089546409,0.023265466,ice,-21.127607,56,322,farming,temperate-rainforest,true,5,0.26415576,11,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",345,459,0.675,0.53087779,true,false,43,11,solar,lunar,11,11,organized,organized,true,true,true,true,false,12.169231,9.4242424,0.31313131,,,,,1,,true,true,true,true,true,4,2,6.1090339,3.4764479,0.043576974,7,0.21883179,0.67487827,16,true,true,true,true,true,true,true,1,3,2,true,5,6,2,9,0,0,0,0,1,1,1,1,0,0,0,0,1,1,84,32,126,
151,default,orange dwarf (K),false,37.39111,157.32104,100.97868,7.4346291,0.21906119,2,false,3.9952322,22.806847,5,sun-like,ambient,0,23,0.63873834,0.45438573,3,0.17079244,0.023704897,tundra,-5.712513,71,328.73239,farming,temperate-rainforest,true,5,0.29355318,8,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",453,527,0.72,0.675,true,true,52,17,solar,lunar,8,7,organized,organized,true,true,true,true,false,11.602941,10.741935,0.21782178,,,,,1,,true,true,true,true,true,4,2,6.1916501,3.7819456,0.03742493,6,0.68083525,0.69137886,18,true,true,true,true,true,true,true,3,1,5,true,8,2,23,6,0,0,0,0,1,1,1,1,0,0,0,0,1,1,72,24,112,
152,default,yellow-white dwarf (F),false,34.092922,807.76683,568.63427,0.26082556,0.022282984,3,false,7.8874629,62.286114,3,red-dwarf,cyclic,0,23,0.62011132,0.48390206,3,0.21334407,0.033274742,ice,-2.0326637,96,304.14583,farming,temperate-rainforest,true,5,0.17383202,11,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",396,520,0.675,0.675,true,true,59,35,solar,lunar,11,10,organized,organized,true,true,true,true,false,12.604938,16.145455,0.24637681,,,,,1,,true,true,true,true,true,4,2,8.043271,3.0798578,0.055661345,7,0.49598355,0.66875131,39,true,true,true,true,true,true,true,3,3,7,true,4,1,13,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,600,24,64,
153,default,yellow-white dwarf (F),false,23.717232,706.52879,714.95235,32.325155,0.61697155,2,false,5.0441934,69.60492,2,blue-giant,ambient,0,37,0.52346077,0.52433402,3,0.27908794,0.014086226,alpine,3.0125064,103,310.95146,farming,temperate-forest,true,5,0.27172131,10,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",352,307,0.63,0.585,true,true,61,40,solar,lunar,10,10,organized,organized,true,true,true,true,false,22.530864,14.416667,0.2027972,,,,,0.9,,true,true,true,true,true,4,2,6.7080079,2.934284,0.0601289,7,0.21818648,0.81080949,36,true,true,true,true,true,true,true,5,7,5,true,1,0,9,0,0,0,0,0,1,,1,,0,0,0,0,1,1,216,96,14,
154,default,yellow dwarf (G),false,22.645575,519.29135,550.35,28.320501,0.65662556,3,false,3.9696978,86.71288,3,blue-giant,ambient,0,31,0.61139593,0.46117603,3,0.12672721,0.042844588,ice,-17.118961,69,336.73913,farming,temperate-rainforest,true,5,0.26655359,13,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",507,346,0.675,0.765,true,true,54,13,solar,lunar,13,11,organized,organized,true,true,true,true,false,12.2375,9.2285714,0.33050847,,,,,0.92307692,,true,true,true,true,true,4,2,6.7498215,3.2442766,0.04499292,8,0.18614148,0.6625212,35,true,true,true,true,true,true,true,4,3,6,true,2,3,1,0,0,0,0,0,1,1,1,,0,0,0,0,1,1,216,140,32,
155,default,yellow dwarf (G),false,21.310357,272.04992,306.38614,28.962636,3.6291329,0,false,-0,,3,sun-like,ambient,0,34,0.68822323,0.41320179,3,0.17333138,0.042502807,temperate-forest,-2.638111,73,336.60274,farming,temperate-rainforest,true,5,0.17046433,2,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",388,520,0.72,0.72,true,true,53,18,solar,solar,2,2,organized,organized,false,true,true,true,false,9.0877193,20.272727,0.049382716,,,,,1,,true,true,true,true,true,4,2,6.793121,3.6912703,0.044431424,9,0.19951453,0.70509396,31,true,true,true,true,true,true,true,4,5,6,true,3,4,0,0,0,0,0,0,1,1,,,0,0,0,0,1,1,12,12,12,
156,default,yellow dwarf (G),false,31.355273,360.11187,275.63737,28.426518,0.51431101,2,false,7.7834189,20.155725,5,orange-giant,cyclic,0,14,0.53439773,0.51966233,3,0.27269176,0.014940677,alpine,-1.3141041,98,337.0102,farming,temperate-forest,true,5,0.24575294,8,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",461,515,0.6622601,0.675,true,true,62,34,solar,lunar,8,7,organized,organized,true,true,true,true,false,9.5384615,16.208333,0.1640625,,,,,1,,true,true,true,true,true,4,2,6.5565193,3.1530842,0.048825741,6,0.33331586,0.55230632,18,true,true,true,true,true,true,true,5,1,4,true,3,0,5,1,0,0,0,0,1,,1,1,0,0,0,0,1,1,27,48,378,
157,default,yellow dwarf (G),false,28.20062,471.69651,401.43501,33.800556,0.18122501,2,false,3.546558,19.018781,4,orange-giant,cyclic,0,16,0.74813242,0.45691577,3,0.034080367,0.011669352,ice,-19.823553,37,285.83784,farming,taiga,true,5,0.22777939,8,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",435,335,0.765,0.81,true,true,31,4,solar,lunar,8,7,organized,organized,true,true,true,true,false,14.382979,13.555556,0.25373134,,,,,1,,true,true,true,true,true,4,2,5.2698656,3.3286413,0.034202432,5,0.68236891,0.6019573,17,true,true,true,true,true,true,true,4,2,2,true,1,0,3,0,0,0,0,0,1,,1,,0,0,0,0,1,1,63,80,24,
158,default,yellow-white dwarf (F),false,32.323238,472.67126,350.95835,27.259973,0.61875677,2,false,3.3160027,27.03756,4,sun-like,ambient,0,10,0.65519262,0.4566695,3,0.2001123,0.017967873,temperate-forest,3.1198973,83,311.13253,farming,temperate-forest,true,3,0.17233078,8,organized,flat,cyclic,"farmer,shaman,chief","digger,shaper,keeper,elders",350,399,0.585,0.71546238,true,true,54,27,solar,lunar,8,7,organized,organized,true,true,true,true,false,9.9714286,14.853659,0.15044248,,,,,1,,true,true,true,true,true,4,2,6.2407434,3.5808733,0.044284947,9,0.22557349,0.71957424,27,true,true,true,true,true,true,true,5,4,5,true,0,7,5,7,0,0,0,0,,1,1,1,0,0,0,0,1,1,222,96,36,
159,default,yellow dwarf (G),false,25.441377,323.98947,305.6339,28.932155,0.72817392,2,false,4.2129567,14.490756,2,red-dwarf,cyclic,0,11,0.58190518,0.45620694,3,0.14198525,0.011596113,ice,-15.419345,78,347.80769,farming,temperate-rainforest,true,5,0.24500759,8,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",526,463,0.72,0.72,true,true,62,14,solar,lunar,8,7,organized,organized,true,true,true,true,false,9.2307692,16.357143,0.18518519,,,,,1,,true,true,true,true,true,4,2,6.6363758,3.1664972,0.06047068,8,0.2064113,0.67522893,24,true,true,true,true,true,true,true,1,2,5,true,3,8,8,0,0,0,0,0,1,1,1,,0,0,0,0,1,1,288,84,320,
160,default,yellow dwarf (G),false,19.425975,367.42944,453.94409,34.127888,0.098712571,2,true,6.4476422,23.775162,3,orange-giant,cyclic,1,27,0.66507983,0.38348276,5,0.030809043,0.032273815,ice,-28.932605,35,273.54286,farming,taiga,true,5,0.22647423,8,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",410,386,0.765,0.765,true,true,30,3,solar,lunar,8,7,organized,organized,true,true,true,true,false,7.9565217,4.5882353,0.4,,,,,1,,true,true,true,true,true,4,2,6.3109538,3.5769679,0.043161955,7,0.30621765,0.71355746,19,true,true,true,true,true,true,true,2,3,7,true,1,0,12,5,0,0,0,0,1,,1,1,0,0,0,0,1,1,24,264,74,
161,default,yellow dwarf (G),false,37.082059,363.17915,235.05435,0.06900398,0.089715491,3,false,7.6996793,115.64353,4,orange-giant,cyclic,0,8,0.73526683,0.39625599,3,0.069064011,0.0095210195,ice,-16.805929,50,328.52,farming,temperate-rainforest,true,5,0.12845813,11,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",387,489,0.765,0.765,true,true,43,5,solar,lunar,11,9,organized,organized,true,true,true,true,false,9.2923077,11.869565,0.37362637,,,,,1,,true,true,true,true,true,4,2,6.3149293,3.8597497,0.039158244,9,0.26752121,0.81280211,19,true,true,true,true,true,true,true,3,2,4,true,0,0,2,0,0,0,0,0,,,1,,0,0,0,0,1,1,864,80,240,
162,default,orange dwarf (K),false,34.364424,219.17003,153.06763,34.557977,0.45474563,1,false,1.4712173,9.1688912,3,red-giant,ambient,0,22,0.56318051,0.4481082,3,0.25137933,0.017186661,tundra,1.2141644,92,320.26087,farming,temperate-rainforest,true,5,0.24478846,5,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",525,471,0.675,0.47876557,true,false,49,41,solar,lunar,5,5,organized,organized,true,true,true,true,false,10,13.647059,0.09009009,,,,,1,,true,true,true,true,true,4,2,6.4061751,3.6061829,0.048239832,5,0.59056614,0.63625045,18,true,true,true,true,true,true,true,5,5,3,true,4,4,8,0,0,0,0,0,1,1,1,,0,0,0,0,1,1,126,16,80,
163,default,orange dwarf (K),false,17.083134,231.96137,325.88124,29.355528,0.37895893,2,false,7.2372908,34.943834,2,orange-giant,cyclic,0,23,0.73326498,0.46018671,5,0.031321713,0.0312973,ice,-27.587228,34,300.88235,farming,temperate-rainforest,true,5,0.24052718,9,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",376,468,0.72,0.81,true,true,30,2,solar,lunar,9,10,organized,organized,true,true,true,true,false,6.625,6.1363636,0.4084507,,,,,1,,true,true,true,true,true,4,2,6.6416392,3.5843195,0.036155461,7,0.31960461,0.76929413,33,true,true,true,true,true,true,true,6,2,5,true,0,2,3,1,0,0,0,0,,1,1,1,0,0,0,0,1,1,240,16,400,
164,default,yellow dwarf (G),false,22.147327,255.48572,276.85767,23.998446,0.010323792,2,true,6.761941,17.052334,3,blue-giant,cyclic,1,8,0.56327816,0.48454357,3,0.27650017,0.013988575,temperate-forest,4.2087175,101,323.89109,farming,temperate-forest,true,5,0.25009783,10,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",400,479,0.63,0.63,true,true,63,36,solar,lunar,10,9,organized,organized,true,true,true,true,false,7.3373494,14.425926,0.60431655,,,,,0.9,,true,true,true,true,true,4,2,6.5727148,3.3612257,0.04889898,6,0.37766225,0.5170768,24,true,true,true,true,true,true,true,5,6,2,true,1,3,0,0,0,0,0,0,1,1,,,0,0,0,0,1,1,6,100,80,
165,default,yellow dwarf (G),false,18.538366,388.03546,502.35555,6.119759,0.47113466,0,false,-0,,4,red-giant,cyclic,0,37,0.50480934,0.51449418,5,0.15248279,0.032395879,ice,-12.610387,89,311.75281,farming,temperate-rainforest,true,5,0.31078683,1,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",453,435,0.72,0.765,true,true,69,18,solar,solar,1,1,organized,organized,false,true,true,true,false,11.084507,15.7,0,,,,,1,,true,true,true,true,true,4,2,7.2671068,2.886969,0.057638787,8,0.34283179,0.78928262,25,true,true,true,true,true,true,true,0,2,1,true,0,1,2,0,0,0,0,0,,1,1,,0,0,0,0,1,1,192,48,40,
166,default,yellow-white dwarf (F),false,26.840149,937.47348,838.27267,14.286857,2.3863182,1,false,0.20043549,20.817502,4,blue-giant,cyclic,0,22,0.56723305,0.43210921,3,0.19269079,0.0091060007,taiga,-11.175797,81,335.65432,farming,temperate-rainforest,true,5,0.26733232,4,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",469,569,0.765,0.81,true,true,59,20,solar,lunar,4,5,organized,organized,true,true,true,true,false,11.671642,22.933333,0.1010101,,,,,1,,true,true,true,true,true,4,2,6.6064268,3.2809314,0.057248181,8,0.35657472,0.71155084,34,true,true,true,true,true,true,true,1,3,4,true,0,0,12,0,0,0,0,0,,,1,,0,0,0,0,1,1,168,100,80,
167,default,yellow-white dwarf (F),false,36.179909,829.60479,550.31965,0.45226184,0.16091978,1,false,6.0164167,35.239027,4,red-giant,cyclic,0,25,0.5845906,0.45751058,3,0.20384747,0.016893706,ice,-10.030783,82,352.03659,farming,temperate-rainforest,true,5,0.28226375,4,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",479,447,0.7460918,0.71843253,true,true,58,22,solar,lunar,4,4,organized,organized,true,true,true,true,false,19.848485,14.6,0.091836735,,,,,1,,true,true,true,true,true,4,2,7.0405504,3.253119,0.052170304,4,0.59073813,0.6174718,33,true,true,true,true,true,true,true,4,3,7,true,0,1,0,3,0,0,0,0,,1,,1,0,0,0,0,1,1,576,84,36,
168,default,yellow-white dwarf (F),false,25.535302,893.81318,840.07294,10.014195,0.11309275,1,false,0.54073977,24.503702,4,sun-like,cyclic,0,23,0.51271911,0.48557114,3,0.081343684,0.0165031,ice,-25.570322,64,323.9375,farming,temperate-rainforest,true,5,0.26973948,4,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",451,495,0.81,0.81,true,true,56,6,solar,lunar,4,3,organized,organized,true,true,true,true,false,12.953125,20.416667,0.10126582,,,,,1,,true,true,true,true,true,4,2,6.8229326,3.1414248,0.058200283,6,0.50621242,0.73548549,34,true,true,true,true,true,true,true,4,2,7,true,0,4,19,0,0,0,0,0,,1,1,,0,0,0,0,1,1,180,16,56,
169,default,yellow-white dwarf (F),false,21.952439,665.59119,727.67261,6.6319033,1.8954001,1,false,0.26452865,8.1926563,3,red-giant,cyclic,0,17,0.51152287,0.4942276,3,0.073726869,0.015282457,ice,-25.467155,56,298.76786,farming,taiga,true,5,0.26672997,4,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",431,282,0.765,0.765,true,true,48,6,solar,lunar,4,4,organized,organized,true,true,true,true,false,14.125,18,0.12676056,,,,,1,,true,true,true,true,true,4,2,8.1585435,2.627877,0.075167228,8,0.584437,0.61218001,39,true,true,true,true,true,true,true,3,3,5,true,7,1,5,0,0,0,0,0,1,1,1,,0,0,0,0,1,1,1944,4,64,
170,default,yellow dwarf (G),false,32.769617,414.64134,303.6774,27.043369,0.45559445,3,false,4.0366992,42.535283,4,red-giant,ambient,0,38,0.51542893,0.49972291,3,0.096113471,0.020213857,ice,-24.923418,67,318.08955,farming,temperate-rainforest,true,5,0.31522999,12,organized,ranked,cyclic,"slave,farmer,artisan,shaman,chief","digger,shaper,keeper,elders",333,303,0.72,0.72,true,true,51,14,solar,lunar,12,11,organized,organized,true,true,true,true,false,12.746667,10.25,0.30701754,,,,,1,,true,true,true,true,true,4,2,7.7211312,2.8226285,0.068136321,4,0.6778679,0.72071933,47,true,true,true,true,true,true,true,3,2,3,true,0,0,5,2,0,0,0,0,,,1,1,0,0,0,0,1,1,459,28,48,
